Rank,Game,Company,Score,Rating
111,Word Game 2022 Exploration $34.99,,5.7,94% 6.2 K
112,High On Life 2022 Comedy $39.99,,5.7,89% 22.9 K
113,Aokana - Four Rhythms Across the Blue - EXTRA2 2022 Visual Novel $15.99 -36% $24.99,,5.7,99% 1.99 K
114,Pages of Time: Prologue 2022 Adventure Free,,5.7,97% 2.85 K
115,Will You Snail? 2022 Artificial Intelligence $8.24 -25% $10.99,,5.69,97% 2.78 K
116,JoJo's Bizarre Adventure: All-Star Battle R 2022 Anime $9.99 -80% $49.99,Demo,5.69,90% 15 K
117,Garden Galaxy 2022 Relaxing $9.99,Demo,5.69,98% 2.58 K
118,Prodeus 2022 Boomer Shooter $24.99,,5.69,93% 7.97 K
119,Insomnia: Theater in the Head 2022 Psychological $1.61 -35% $2.49,,5.69,97% 2.75 K
120,Lily's Well 2022 Horror Free,,5.69,98% 2.5 K
121,Frog Detective 3: Corruption at Cowboy County 2022 Comedy $4.99,,5.69,99% 2.02 K
122,Roadwarden 2022 RPG $10.99,Demo,5.69,94% 4.81 K
123,The Mortuary Assistant 2022 Horror $14.99 -40% $24.99,Demo,5.69,92% 8.3 K
124,Treasure of Nadia 2022 Sexual Content $10.49 -30% $14.99,18,5.69,93% 6.41 K
125,Shadows Over Loathing 2022 Adventure $22.99,,5.69,96% 3.22 K
126,Super Lesbian Animal RPG 2022 LGBTQ+ $14.99,,5.69,99% 1.81 K
127,Banana Shooter 2022 Psychological Horror Free,,5.68,89% 17.6 K
128,Dungeon Alchemist 2022 Tabletop $44.99,EA Demo,5.68,95% 3.67 K
129,Galaxy Life 2022 Strategy Free,,5.68,92% 8.34 K
130,Save Room - Organization Puzzle 2022 Puzzle $2.99,,5.68,97% 2.4 K
131,Return to Monkey Island 2022 Point & Click $24.99,,5.68,91% 8.9 K
132,Magical Girl Celesphonia 2022 Sexual Content $19.99,,5.68,96% 2.99 K
133,Resonance of the Ocean 2022 Relaxing Free,,5.68,98% 2.13 K
134,GNOSIA 2022 Visual Novel $24.99,,5.68,94% 4.53 K
135,SpiderHeck 2022 Local Multiplayer $5.99 -60% $14.99,Demo,5.68,93% 6.06 K
136,Shredders 2022 Sports $29.99,,5.68,95% 3.63 K
137,Sudocats 2022 Casual $1.99,,5.68,99% 1.67 K
138,Endling - Extinction is Forever 2022 Emotional $29.99,,5.67,95% 3.16 K
139,"Gunner, HEAT, PC! 2022 Simulation $29.99",EA,5.67,92% 7.15 K
140,Weed Shop 3 2022 Immersive Sim $19.99,,5.67,94% 4.11 K
141,Love Delivery 2022 Dating Sim $14.99,Demo,5.67,96% 2.55 K
142,Seraph's Last Stand 2022 Action Roguelike $0.99,,5.67,94% 4.27 K
143,Cave Crawler 2022 Side Scroller Free,,5.67,95% 3.1 K
144,COMPOUND 2022 Action $19.99,VR Demo,5.67,97% 2.12 K
145,Who's Lila? 2022 Horror $11.99,Demo,5.67,95% 3.39 K
146,The one who pulls out the sword will be crowned king 2022 Short Free,,5.67,91% 8.71 K
147,Wylde Flowers 2022 Cozy $24.99,Demo,5.67,96% 2.6 K
148,FAR: Changing Tides 2022 Atmospheric $19.99,,5.67,93% 5.29 K
149,Shotgun King: The Final Checkmate 2022 Chess $9.99,Demo,5.67,91% 6.91 K
150,A Taste of the Past 2022 Adventure Free,,5.67,98% 1.77 K
151,Life is Strange Remastered 2022 Choices Matter $39.99,,5.67,91% 8.17 K
152,Miss Neko 3 2022 Sexual Content $2.99,,5.67,93% 4.63 K
153,Card Survival: Tropical Island 2022 Survival $14.99 -40% $24.99,,5.67,95% 2.93 K
154,click to ten 2022 Psychological Horror Free,,5.67,93% 4.69 K
155,枝江畔之梦 2022 Casual Free,,5.66,98% 1.5 K
156,MONSTER HUNTER RISE 2022 Action $7.99 -80% $39.99,Demo,5.66,83% 120 K
157,FUCK HITLER 2022 Sandbox Free,,5.66,90% 10.1 K
158,Serious Sam: Siberian Mayhem 2022 Boomer Shooter $19.99,,5.66,93% 4.83 K
159,Leap of Faith 2022 Sexual Content $10.99,18,5.66,96% 2.23 K
160,Hamidashi Creative 2022 Adventure $19.49 -35% $29.99,,5.66,96% 2.22 K
161,Her New Memory - Hentai Simulator 2022 Sexual Content $9.99,18,5.66,94% 3.66 K
162,Spark the Electric Jester 3 2022 3D Platformer $24.99,Demo,5.66,97% 1.98 K
163,Nobody Saves the World 2022 Singleplayer $24.99,,5.66,91% 6.55 K
164,ERROR143 2022 Dating Sim Free,,5.66,93% 4.71 K
165,Ten Trials of Babel: The Doppelganger Maze 2022 Female Protagonist $2.69 -10% $2.99,,5.66,93% 4.31 K
166,Last Command 2022 Difficult $9.74 -35% $14.99,Demo,5.66,96% 2.32 K
167,Nightmare Reaper 2022 Boomer Shooter $24.99,Demo,5.66,94% 3.64 K
168,HYPER DEMON 2022 FPS $5.09 -66% $14.99,,5.66,94% 3.22 K
169,Warsim: The Realm of Aslona 2022 Text-Based $9.99,,5.66,96% 2.14 K
170,Monument Valley 2 2022 Casual $7.99,,5.66,93% 3.8 K
171,Potionomics 2022 Deckbuilding $24.99,,5.66,91% 7.16 K
172,Zodiacats 2022 Cats $1.99,,5.65,99% 1.26 K
173,Islets 2022 Metroidvania $19.99,,5.65,96% 2.11 K
174,Rock Life: The Rock Simulator 2022 Idler Free,,5.65,95% 2.41 K
175,The Legend of Heroes: Trails from Zero 2022 RPG $39.99,,5.65,98% 1.41 K
176,EZ2ON REBOOT : R 2022 Rhythm $22.49 -50% $44.99,,5.65,91% 6.11 K
177,Super Kiwi 64 2022 3D Platformer $2.99,,5.65,96% 1.92 K
178,CRISIS CORE –FINAL FANTASY VII– REUNION 2022 Action $49.99,,5.65,90% 8.24 K
179,14 Minesweeper Variants 2022 Puzzle $6.99,Demo,5.65,97% 1.51 K
180,Weird RPG 2022 RPG $10.99,,5.65,92% 4.19 K
181,TYRONE vs COPS 2022 America $0.79 -20% $0.99,,5.65,94% 2.58 K
182,Antimatter Dimensions 2022 Idler Free,,5.65,92% 4.17 K
183,Hooked on You: A Dead by Daylight Dating Sim™ 2022 Psychological Horror $9.99,,5.65,90% 6.52 K
184,Linelith 2022 Casual $2.99,,5.65,99% 1.15 K
185,瘟疫清零计划 Project Zero 2022 Action Roguelike Free,,5.65,93% 3.64 K
186,Tribal Hunter 2022 Action $14.99,Demo,5.65,97% 1.59 K
187,Lunistice 2022 3D Platformer $4.99,Demo,5.65,96% 1.82 K
188,FINAL FANTASY VI 2022 RPG $17.99,,5.65,92% 4.42 K
189,Endoparasitic 2022 Survival Horror $9.99,,5.64,94% 2.87 K
190,Foxhole 2022 Massively Multiplayer $17.99 -40% $29.99,,5.64,84% 48.3 K
191,Knightfall: A Daring Journey 2022 Online Co-Op Free,,5.64,89% 8.06 K
192,POPGOES Arcade 2022 RPG $4.99,,5.64,97% 1.57 K
193,Soda Crisis 2022 Side Scroller $6.59 -40% $10.99,Demo,5.64,93% 3.17 K
194,daydream 白日夢 2022 Casual Free,,5.64,98% 1.18 K
195,Just Go 2022 Casual $9.99,,5.64,93% 3.17 K
196,To Be or Not to Be 2022 Sexual Content $6.10 -53% $12.99,Demo,5.64,89% 7.99 K
197,Atelier Sophie 2: The Alchemist of the Mysterious Dream 2022 RPG $29.99 -50% $59.99,,5.64,94% 2.51 K
198,FPS Chess 2022 FPS Free,,5.64,84% 40.9 K
199,Shattered Pixel Dungeon 2022 Traditional Roguelike $9.99,,5.64,95% 1.95 K
200,Freedom Planet 2 2022 Platformer $24.99,Demo,5.64,96% 1.67 K
201,My Sticker Book 2022 Puzzle Free,,5.64,97% 1.36 K
202,Gun Devil 2022 Side Scroller Free,,5.64,96% 1.55 K
203,Chained Echoes 2022 RPG $24.99,,5.64,89% 7.63 K
204,Crysis 2 Remastered 2022 Action $11.99 -60% $29.99,,5.64,89% 8.24 K
205,Klonoa Phantasy Reverie Series 2022 Adventure $39.99,,5.63,94% 2.12 K
206,Alina of the Arena 2022 Roguelike Deckbuilder $14.99,Demo,5.63,92% 3.87 K
207,NORCO 2022 Point & Click $14.99,Demo,5.63,93% 2.96 K
208,Vault of the Void 2022 Roguelike Deckbuilder $8.99 -50% $17.99,Demo,5.63,93% 2.92 K
209,Starship Troopers: Terran Command 2022 Strategy $29.99,,5.63,87% 11.6 K
210,BROK the InvestiGator 2022 Adventure $19.99,Demo,5.63,97% 1.22 K
211,Railbound 2022 Wholesome $12.99,,5.63,95% 1.85 K
212,Clanfolk 2022 Farming Sim $29.99,EA Demo,5.63,92% 3.67 K
213,Capybara Spa 2022 Simulation $7.99,,5.63,95% 1.65 K
214,Tiny Civilization 2022 Strategy $1.99,,5.63,94% 2.11 K
215,FUCK PUTIN 2022 Sandbox Free,,5.63,89% 7.26 K
216,The Zachtronics Solitaire Collection 2022 Solitaire $9.99,,5.63,99% 914
217,The Excavation of Hob's Barrow 2022 Point & Click $14.99,,5.63,92% 2.95 K
218,Chicken Invaders Universe 2022 Shooter Free,,5.62,91% 3.71 K
219,We Who Are About To Die 2022 Physics $21.99,EA Demo,5.62,88% 8.11 K
220,House Party 2022 Nudity $24.99,,5.62,86% 15.3 K
