rank,appid,name,rating,num_votes
222,1491670,Venba,93.0,3259
223,2567190,Otome Riron to Sono Shuuhen -École de Paris-,97.0,1357
224,1426010,STASIS: BONE TOTEM,94.0,2529
225,1929610,Demonologist,85.0,23325
226,1941780,Zumbi Blocks 2 Open Alpha,88.0,9234
227,1282100,REMNANT II®,83.0,65210
228,1566200,Tape to Tape,92.0,3372
229,2403320,冬日树下的回忆,98.0,1134
230,2088030,Long Dream,99.0,966
231,2275150,SLUDGE LIFE 2,97.0,1292
232,1587130,Blood West,90.0,5702
233,1668520,The Legend of Heroes: Trails to Azure,98.0,998
234,2186570,TELEFORUM,92.0,3336
235,2529130,URBO: Dream One,97.0,1310
236,1654660,En Garde!,91.0,4179
237,1624540,Storyteller,88.0,8473
238,2386250,It gets so lonely here,95.0,1844
239,2395210,Tony Hawk's™ Pro Skater™ 1 + 2,91.0,4505
240,1933660,Demons Roots,94.0,2073
241,1783360,Meg's Monster,97.0,1251
242,1920780,Stray Gods: The Roleplaying Musical,91.0,3722
243,1628610,Paquerette Down the Bunburrows,97.0,1173
244,2302140,q.u.q.,95.0,1755
245,2430730,My Child Lebensborn Remastered,97.0,1165
246,2486750,Beecarbonize,94.0,2079
247,1948980,Hero's Adventure: Road to Passion,85.0,23906
248,2248430,Touhou Artificial Dream in Arcadia,97.0,1166
249,2336980,Enjoy the Diner,97.0,1006
250,2246880,STANDBOX,92.0,2737
