Rank,Game,,Score,Rating
155,Mushroom Cats 2019 Casual Free,,5.65,96% 1.71 K
156,CODE VEIN 2019 Souls-like $59.99,Demo,5.65,83% 60.9 K
157,DOTOKOI / 像素男友 2019 Casual Free,,5.64,99% 1.15 K
158,Frog Detective 2: The Case of the Invisible Wizard 2019 Comedy $4.99,,5.64,95% 2.12 K
159,Dawn of Man 2019 City Builder $24.99,,5.64,87% 17.6 K
160,人间 The Lost We Lost 2019 Simulation $3.99,,5.64,94% 2.48 K
161,LOVE³ -Love Cube- 2019 Sexual Content $9.99,18 Demo,5.64,94% 2.45 K
162,Zup! 9 2019 Puzzle $0.59 -70% $1.99,,5.64,96% 1.9 K
163,Coloring Game 2019 Relaxing Free,,5.64,92% 3.93 K
164,Walking Zombie 2 2019 FPS Free,,5.64,88% 12.9 K
165,Dota Underlords 2019 Strategy Free,,5.64,82% 91 K
166,9-nine-:Episode 1 2019 Visual Novel $19.99,,5.64,95% 1.87 K
167,There is No GreenDam 2019 Visual Novel Free,,5.64,95% 1.94 K
168,Cricket 19 2019 Sports $29.99,Demo,5.64,92% 3.98 K
169,War Selection 2019 Strategy Free,EA,5.64,86% 22.8 K
170,Russian Life Simulator 2019 Simulation $0.99,,5.64,89% 8.16 K
171,STEINS;GATE: My Darling's Embrace 2019 Visual Novel $29.99,,5.64,96% 1.71 K
172,Granny Simulator 2019 Funny $4.99,EA,5.63,90% 5.96 K
173,Deliver Us The Moon 2019 Adventure $24.99,,5.63,88% 8.93 K
174,Snakeybus 2019 Casual $9.99,,5.63,94% 2.52 K
175,Secret Neighbor: Hello Neighbor Multiplayer 2019 Horror $3.99 -80% $19.99,,5.63,86% 19 K
176,Pretty Angel 2019 Sexual Content $0.99,,5.63,92% 3.54 K
177,Swords and Sandals Classic Collection 2019 Strategy $9.99,,5.63,93% 2.85 K
178,Touhou Fantasia / 东方梦想曲 2019 Action Free,,5.63,96% 1.48 K
179,SENRAN KAGURA Burst Re:Newal 2019 Anime $29.99,,5.63,93% 2.54 K
180,Granny: Chapter Two 2019 Adventure $7.99,,5.63,95% 1.83 K
181,STEINS;GATE: Linear Bounded Phenogram 2019 Adventure $59.99,,5.63,97% 1.19 K
182,沉睡的法则 Things as They Are 2019 JRPG $4.19 -30% $5.99,,5.63,97% 1.15 K
183,Rock Simulator 2019 Psychological Horror $1.99,,5.63,95% 1.82 K
184,Catherine Classic 2019 Sexual Content $19.99,,5.63,87% 10.6 K
185,OCTOPATH TRAVELER™ 2019 RPG $59.99,,5.62,86% 16.2 K
186,Open World Game: the Open World Game 2019 Open World Free,,5.62,93% 2.53 K
187,I hate this game 2019 Puzzle $1.99,,5.62,93% 2.5 K
188,Destiny 2 2019 Open World Free,,5.62,78% 644 K
189,Touhou Kikeijuu ~ Wily Beast and Weakest Creature. 2019 Bullet Hell $14.99,Demo,5.62,97% 1.04 K
190,Ultra Fight Da ! Kyanta 2 2019 Fighting Free,EA,5.62,96% 1.21 K
191,Eastshade 2019 Adventure $24.99,,5.62,89% 5.29 K
192,Rise to Ruins 2019 Tower Defense $14.99,,5.62,88% 7.72 K
193,Autonauts 2019 Programming $19.99,,5.62,90% 4.9 K
194,Unsung Warriors - Prologue 2019 Adventure Free,,5.61,95% 1.43 K
195,Cooking Simulator 2019 Simulation $19.99,,5.61,85% 19.2 K
196,旅燕归航 Swallow Homing 2019 Visual Novel Free,,5.61,98% 832
197,Whispers of a Machine 2019 Adventure $14.99,,5.61,93% 1.94 K
198,No Time to Relax 2019 Board Game $13.99,,5.61,92% 2.7 K
199,Legend of Keepers: Prologue 2019 Turn-Based Combat Free,,5.61,92% 2.37 K
200,Trap Shrine 2019 Sexual Content $9.99,Demo,5.61,94% 1.62 K
201,Spring Falls 2019 Casual $6.99,,5.61,97% 986
202,Glass Masquerade 2: Illusions 2019 Casual $4.99,,5.61,91% 3.14 K
203,Serious Sam Classics: Revolution 2019 Action $9.99,,5.61,90% 3.7 K
204,Baldr Sky 2019 Visual Novel $49.99,,5.61,94% 1.54 K
205,Zueirama 2019 Adventure $7.99,,5.61,94% 1.5 K
206,Mr. Hopp's Playhouse 2019 Horror Free,,5.61,93% 1.79 K
207,沙雕之路 2019 RPG $10.00,EA,5.61,96% 1.03 K
208,Mutilate-a-Doll 2 2019 Sandbox $9.00,,5.61,94% 1.73 K
209,UNDEFEATED 2019 Superhero Free,,5.61,88% 7.1 K
210,Pool 2D - Poolians 2019 Pool Free,,5.61,86% 9.95 K
211,Mutazione 2019 Relaxing $19.99,,5.61,95% 1.34 K
212,MORDHAU 2019 Medieval $4.49 -85% $29.99,,5.61,80% 113 K
213,Don't Escape Trilogy 2019 Adventure $4.99,,5.61,99% 684
214,Trover Saves the Universe 2019 Adventure $29.99,,5.61,91% 3.15 K
215,A Fisherman's Tale 2019 Puzzle $14.99,VR,5.6,94% 1.52 K
216,Tannenberg 2019 Gore $3.99 -80% $19.99,,5.6,86% 9.69 K
217,Hand Simulator: Survival 2019 Survival $2.99,,5.6,86% 9.9 K
218,Fell Seal: Arbiter's Mark 2019 RPG $29.99,,5.6,88% 6.22 K
219,Heave Ho 2019 Co-op $9.99,,5.6,92% 2.52 K
220,Banner of the Maid 2019 Strategy $16.99,,5.6,87% 8.09 K
221,Lovers of Aether 2019 Dating Sim Free,,5.6,94% 1.59 K
222,Tracks - The Train Set Game 2019 Simulation $3.99 -80% $19.99,,5.6,94% 1.49 K
223,Tick Tock: A Tale for Two 2019 Puzzle $5.99,,5.6,86% 11.6 K
224,HOME 2019 Philosophical Free,,5.6,90% 3.34 K
225,Lonely Mountains: Downhill 2019 Bikes $3.99 -80% $19.99,Demo,5.6,91% 2.96 K
226,Voxelgram 2019 Hidden Object $4.99 -50% $9.99,Demo,5.6,98% 687
227,Miss Neko 2019 Sexual Content $0.99,,5.6,89% 4.45 K
228,ULTIMATE HARDBASS DEFENCE 2019 Sexual Content $1.99,,5.6,92% 2.21 K
229,LOST EMBER 2019 Atmospheric $29.99,,5.6,88% 5.15 K
230,Golden Treasure: The Great Green 2019 Dragons $19.99,Demo,5.59,96% 930
231,Fishy 2019 Casual Free,,5.59,94% 1.42 K
232,Blush Blush 2019 Sexual Content Free,,5.59,87% 7.44 K
233,Super Jigsaw Puzzle: Generations 2019 Family Friendly Free,,5.59,95% 1.09 K
234,Fun with Ragdolls: The Game 2019 Sandbox $14.99,,5.59,88% 5.11 K
235,MageQuit 2019 Magic $14.99,,5.59,94% 1.4 K
236,Deep Sleep Trilogy 2019 Adventure $4.99,,5.59,97% 767
237,Timeflow – Life Sim 2019 Life Sim $14.99,EA,5.59,93% 1.6 K
238,The Lar 2019 Adventure Free,,5.59,95% 1.08 K
239,Detective Girl of the Steam City 2019 Sexual Content $14.99,,5.59,92% 1.96 K
240,Train Valley 2 2019 Quick-Time Events $14.99,,5.59,90% 3.03 K
241,Pact with a witch 2019 Sexual Content Free,EA 18,5.59,92% 1.66 K
242,The Expression Amrilato 2019 LGBTQ+ $24.99,,5.59,97% 730
243,Age of Empires: Definitive Edition 2019 Strategy $19.99,,5.59,84% 15 K
244,Hello Neighbor Pre-Alpha 2019 Horror Free,,5.59,91% 2.31 K
245,Dealer's Life 2019 Trading $9.99,,5.58,93% 1.3 K
246,Vanishing Realms™ 2019 Swordplay $19.99,VR,5.58,90% 2.57 K
247,Tailor Tales 2019 Otome Free,,5.58,95% 997
248,Neon Boost 2019 Parkour Free,,5.58,90% 2.47 K
249,The World is Your Weapon 2019 Roguelike $9.99,,5.58,97% 667
250,Zombotron 2019 Action $14.99,,5.58,89% 3.47 K
